"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"ITGBL1"	2.27369972832128e-80	-0.815282116746838	0.174	0.535	5.31500048492382e-76	"2"	"ITGBL1"
"TIMP1"	3.07927220567094e-80	-1.20796620852302	0.985	0.996	7.19810670797638e-76	"2"	"TIMP1"
"LXN"	1.3025280713913e-79	-0.938704071237409	0.139	0.486	3.0447896196843e-75	"2"	"LXN"
"PDLIM5"	5.96117663087896e-79	-0.697525311591959	0.294	0.659	1.39348464923427e-74	"2"	"PDLIM5"
"ITGB5"	1.45182610064076e-78	-0.689801635831645	0.243	0.613	3.39378869285785e-74	"2"	"ITGB5"
"BASP1"	1.76017386863813e-78	-0.581092050688223	0.167	0.533	4.1145824353285e-74	"2"	"BASP1"
"TNFAIP6"	2.87816451521594e-78	-0.779263618142178	0.093	0.428	6.72799737076878e-74	"2"	"TNFAIP6"
"MAGED1"	3.17305096136798e-78	-0.581601405973599	0.176	0.546	7.41732392729379e-74	"2"	"MAGED1"
"S100A9"	3.22281934975316e-78	-0.645384749741879	0.009	0.302	7.53366251198299e-74	"2"	"S100A9"
"FAM114A1"	3.90605951903746e-78	-0.571721036737579	0.187	0.56	9.13080473170196e-74	"2"	"FAM114A1"
"JUN"	1.11558565563396e-77	0.790365795061058	0.926	0.817	2.60779302860995e-73	"2"	"JUN"
"PPIB"	1.56982458682513e-77	-0.540049553236969	0.853	0.969	3.66962195416242e-73	"2"	"PPIB"
"ADAM12"	3.17747692157479e-77	-0.721050000954429	0.035	0.335	7.42767005187323e-73	"2"	"ADAM12"
"ANKH"	5.80568581485359e-77	-0.62546593222966	0.152	0.509	1.35713711608018e-72	"2"	"ANKH"
"MYL9"	1.12371595688108e-76	-0.772560307286082	0.837	0.952	2.6267984208052e-72	"2"	"MYL9"
"CST1"	1.91620505614014e-76	-2.73458250019289	0.005	0.29	4.47932093923318e-72	"2"	"CST1"
